OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss - Agriculture Value - Composite,Expected Annual Loss Rate - Building - Composite,Expected Annual Loss Rate - Population - Composite,Expected Annual Loss Rate - Agriculture - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,National Risk Index Version
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,751565820,686809,2.57640825,89.1831270404209,Relatively High,81.3793103448276,3366860.78454166,2987869.65833836,0.0275825615296976,377881.092891357,1110.03397147204,0.00446275971175934,6.69479648779067E-06,0.001814302759408,96.4687507339643,95.5489755389866,December 2025
24112,T15003003000,Hawaii,HI,15,Honolulu,County,003,15003,003000,15003003000,4305,911851857,0,0.59003724,70.2022218568711,Relatively Moderate,61.1494252873563,1995419.81572605,1866515.3611078,0.00940908437822968,128904.455328247,0,0.00229782081023784,2.18561774174905E-06,0,88.8813209009559,86.5696312416016,December 2025
24113,T15003003102,Hawaii,HI,15,Honolulu,County,003,15003,003102,15003003102,3345,626336494,0,1.51879338,61.4745050144444,Relatively Moderate,51.4942528735632,1677672.0734371,1593815.15850062,0.00612094271315961,83856.9147764867,0,0.00285653212885072,1.82987824010751E-06,0,94.3079596965498,92.6058054772692,December 2025
24114,T15003003103,Hawaii,HI,15,Honolulu,County,003,15003,003103,15003003103,1567,254393001,0,1.75858371,27.8965168987951,Relatively Low,23.6781609195402,892284.801567769,798695.53886317,0.00683133302114586,93589.2619045983,0,0.00352439826030093,4.35949777992716E-06,0,94.2316274044672,93.5048101506665,December 2025
24115,T15003003104,Hawaii,HI,15,Honolulu,County,003,15003,003104,15003003104,2175,416250673,0,0.34131006,39.8595485825681,Relatively Low,34.9425287356322,1140350.28667588,1065322.13341506,0.00547650752840983,75028.1531808146,0,0.00287299505805782,2.51793449582061E-06,0,93.4964887145642,89.4200468528891,December 2025
24116,T15003003404,Hawaii,HI,15,Honolulu,County,003,15003,003404,15003003404,4517,611754376,0,0.10266711,60.0676421542147,Relatively Moderate,50.3448275862069,1634033.02605555,1411470.39065126,0.0162454478035984,222562.635304298,0,0.00259002266421279,3.5965126862073E-06,0,87.0129412593654,92.4642954823826,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,1095076869,0,4.17565395,94.3690255302159,Relatively High,88.2758620689655,4416210.65529992,3986576.28024506,0.0313601661575059,429634.275242687,0,0.00408662087866871,5.45868862619772E-06,0,96.3501420954976,91.1585982186389,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,1051686629,0,3.34188855,82.7841322779905,Relatively Moderate,72.8735632183908,2693457.71025076,2370190.94943789,0.0235961139648022,323266.76204587,0,0.00252991458979989,6.53994289490083E-06,0,87.5637081053151,86.8478945928912,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,632621262,0,0.92639391,84.5456467106654,Relatively High,76.3218390804598,2843228.18116689,2569468.08170754,0.0199824891380724,273760.101556352,0,0.0045594065639543,7.39544379647387E-06,0,97.4105737839679,93.2098985646843,December 2025
24061,T15003000401,Hawaii,HI,15,Honolulu,County,003,15003,000401,15003000401,2758,627754965,0,2.4090573,51.8977382154685,Relatively Low,43.6781609195402,1413868.47502932,1237835.75803652,0.0128491039132193,176032.723542805,0,0.00221351130729879,4.65884840943412E-06,0,84.2262254268737,89.2464295482383,December 2025
24062,T15003000402,Hawaii,HI,15,Honolulu,County,003,15003,000402,15003000402,4147,1381442795,0,1.17283881,79.9469196984287,Relatively Moderate,69.4252873563218,2495151.69079722,2351195.16614294,0.0105077752139621,143956.519434281,0,0.00191057746611039,2.53382570869596E-06,0,83.3513399253118,77.9351432342763,December 2025
24063,T15003000500,Hawaii,HI,15,Honolulu,County,003,15003,000500,15003000500,3872,1555396221,0,1.52508447,96.817530591634,Relatively High,91.9540229885057,5582567.04390849,5145461.15709983,0.0319055390075043,437105.884320261,0,0.00371357450170899,8.24006689243396E-06,0,96.3078657491134,94.1350647497414,December 2025
24064,T15003000600,Hawaii,HI,15,Honolulu,County,003,15003,000600,15003000600,1276,607852535,0,1.54154637,53.6204993306245,Relatively Low,45.5172413793103,1456850.07390004,1057850.05289631,0.029124089218774,399000.021856724,0,0.00195359599643889,2.28245213313276E-05,0,70.1893040843648,65.8366332512813,December 2025
24172,T15003006500,Hawaii,HI,15,Honolulu,County,003,15003,006500,15003006500,4694,488628411,0,3.77993928,55.6615073866172,Relatively Moderate,46.6666666666667,1512532.85739707,1193817.68837467,0.0232638809197516,318715.168522397,0,0.00274263599219186,4.95608881971701E-06,0,83.1528759658971,72.6647877944657,December 2025
24173,T15003006703,Hawaii,HI,15,Honolulu,County,003,15003,006703,15003006703,1725,430262997,0,0.73591791,24.4627380980342,Relatively Low,20.9195402298851,826701.574073496,762659.414229106,0.00467461022055402,64042.16034439,0,0.00198978207851405,2.70991896843711E-06,0,83.73652441459,85.3519317898041,December 2025
24174,T15003006704,Hawaii,HI,15,Honolulu,County,003,15003,006704,15003006704,7162,1225132334,0,7.13471265,85.6072527420908,Relatively High,77.4712643678161,2941882.02719818,2445809.59736381,0.0362096663805249,496072.428677371,0,0.00224103438154721,5.05580373925229E-06,0,81.8646217441342,77.2656463677119,December 2025
24175,T15003006806,Hawaii,HI,15,Honolulu,County,003,15003,006806,15003006806,1758,318770574,0,0.18827874,27.8201846067125,Relatively Low,23.2183908045977,890872.104103129,827268.839031578,0.00464257410456573,63603.2652715505,0,0.00291324706977009,2.64082713570292E-06,0,93.3954952204242,93.0446053773798,December 2025
24065,T15003000700,Hawaii,HI,15,Honolulu,County,003,15003,000700,15003000700,3215,603550524,0,0.37988457,44.8869107734223,Relatively Low,38.8505747126437,1250675.78142965,1057532.44607407,0.0140980536932177,193143.334975582,0,0.00196693019072295,4.38508668529321E-06,0,78.8277708622026,66.1743545836158,December 2025
24066,T15003000800,Hawaii,HI,15,Honolulu,County,003,15003,000800,15003000800,3770,988495965,0,0.43635813,86.1791577612326,Relatively High,79.5402298850575,2998870.97224988,1377507.48213609,0.118347700036396,1621363.49025379,0,0.00156432844544778,3.13919628743756E-05,0,39.496676609437,41.1044914558881,December 2025
24117,T15003003408,Hawaii,HI,15,Honolulu,County,003,15003,003408,15003003408,2256,252146055,0,0.03555981,22.7047466942246,Relatively Low,19.7701149425287,793496.890433762,712948.583323773,0.00587943838868529,80548.3071099885,0,0.00317405837149141,2.6061340375378E-06,0,92.9421988397492,93.6165911550307,December 2025
24118,T15003003409,Hawaii,HI,15,Honolulu,County,003,15003,003409,15003003409,1901,241294964,0,0.03128385,21.9801770909176,Relatively Low,18.8505747126437,778944.113243948,688922.169270602,0.00657094474112017,90021.9439733462,0,0.00320502026178754,3.4565727202105E-06,0,92.2070601498462,92.7366130355678,December 2025
