OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Lightning - Number of Events,Lightning - Annualized Frequency,Lightning - Exposure - Impacted Area (sq mi),Lightning - Exposure - Building Value,Lightning - Exposure - Population,Lightning - Exposure - Population Equivalence,Lightning - Exposure - Total,Lightning - Historic Loss Ratio - Buildings,Lightning - Historic Loss Ratio - Population,Lightning - Historic Loss Ratio - Total Rating,Lightning - Expected Annual Loss - Building Value,Lightning - Expected Annual Loss - Population,Lightning - Expected Annual Loss - Population Equivalence,Lightning - Expected Annual Loss - Total,Lightning - Expected Annual Loss Score,Lightning - Expected Annual Loss Rating,Lightning - Expected Annual Loss Rate - Building,Lightning - Expected Annual Loss Rate - Population,Lightning - Expected Annual Loss Rate - National Percentile,Lightning - Hazard Type Risk Index Value,Lightning - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Rating,National Risk Index Version
24125,T15003003503,Hawaii,HI,15,Honolulu,County,003,15003,003503,15003003503,1500,"420,496,843.00",0.00,0.07,"1,014.00",85.02,0.07,"420,496,843.00","1,500.00","20,550,000,000.00","20,970,496,843.00",0.00,0.00,Relatively High,"1,197.52",0.00,"18,913.06","20,110.58",68.07,Relatively Moderate,0.00,0.00,71.38,"34,039.66",81.02,Relatively High,December 2025
24126,T15003003504,Hawaii,HI,15,Honolulu,County,003,15003,003504,15003003504,2712,"475,249,248.00",0.00,0.09,"1,104.00",92.00,0.09,"475,249,248.00","2,712.00","37,154,400,000.00","37,629,649,248.00",0.00,0.00,Relatively High,"1,439.49",0.00,"38,709.52","40,149.00",88.77,Relatively High,0.00,0.00,58.85,"62,784.84",93.65,Relatively High,December 2025
24127,T15003003603,Hawaii,HI,15,Honolulu,County,003,15003,003603,15003003603,3181,"343,897,583.00",0.00,0.06,736.00,92.00,0.06,"343,897,583.00","3,181.00","43,579,700,000.00","43,923,597,583.00",0.00,0.00,Relatively High,"1,041.63",0.00,"45,403.75","46,445.38",91.68,Relatively High,0.00,0.00,45.38,"74,857.32",95.64,Relatively High,December 2025
24128,T15003003604,Hawaii,HI,15,Honolulu,County,003,15003,003604,15003003604,2554,"556,555,954.00",0.00,0.07,644.00,92.00,0.07,"556,555,954.00","2,554.00","34,989,800,000.00","35,546,355,954.00",0.00,0.00,Relatively High,"1,685.76",0.00,"36,454.32","38,140.07",87.57,Relatively High,0.00,0.00,64.36,"62,359.45",93.56,Relatively High,December 2025
24129,T15003003605,Hawaii,HI,15,Honolulu,County,003,15003,003605,15003003605,1036,"302,668,789.00",0.00,0.06,644.00,92.00,0.06,"302,668,789.00","1,036.00","14,193,200,000.00","14,495,868,789.00",0.00,0.00,Relatively High,916.76,0.00,"14,787.26","15,704.02",59.39,Relatively Moderate,0.00,0.00,71.23,"20,580.42",65.44,Relatively Moderate,December 2025
24130,T15003003606,Hawaii,HI,15,Honolulu,County,003,15003,003606,15003003606,3058,"599,291,146.00",0.00,0.09,"1,564.00",92.00,0.09,"599,291,146.00","3,058.00","41,894,600,000.00","42,493,891,146.00",0.00,0.00,Relatively High,"1,815.20",0.00,"43,648.12","45,463.32",91.26,Relatively High,0.00,0.00,61.77,"48,252.64",89.31,Relatively High,December 2025
24131,T15003003701,Hawaii,HI,15,Honolulu,County,003,15003,003701,15003003701,2522,"403,859,237.00",0.00,0.07,828.00,92.00,0.07,"403,859,237.00","2,522.00","34,551,400,000.00","34,955,259,237.00",0.00,0.00,Relatively High,"1,223.25",0.00,"35,997.57","37,220.82",86.98,Relatively High,0.00,0.00,56.47,"54,574.16",91.55,Relatively High,December 2025
24132,T15003003702,Hawaii,HI,15,Honolulu,County,003,15003,003702,15003003702,3929,"500,541,596.00",0.00,0.10,"1,014.00",84.50,0.10,"500,541,596.00","3,929.00","53,827,300,000.00","54,327,841,596.00",0.00,0.00,Relatively High,"1,392.50",0.00,"51,508.51","52,901.01",93.56,Relatively High,0.00,0.00,49.48,"48,826.77",89.54,Relatively High,December 2025
24133,T15003003703,Hawaii,HI,15,Honolulu,County,003,15003,003703,15003003703,3434,"1,568,260,956.00",0.00,0.88,"3,887.00",85.39,0.52,"1,568,260,956.00","3,434.00","47,045,800,000.00","48,614,060,956.00",0.00,0.00,Relatively High,"4,607.55",0.00,"45,976.78","50,584.33",92.99,Relatively High,0.00,0.00,81.04,"66,617.89",94.40,Relatively High,December 2025
24134,T15003003801,Hawaii,HI,15,Honolulu,County,003,15003,003801,15003003801,4909,"833,000,973.00",0.00,0.49,"3,863.00",78.25,0.39,"833,000,973.00","4,909.00","67,253,300,000.00","68,086,300,973.00",0.00,0.00,Relatively High,"2,144.60",0.00,"59,830.92","61,975.52",95.37,Very High,0.00,0.00,56.41,"69,774.60",94.91,Relatively High,December 2025
